participantId,task,format,response,start_time,end_time,duration_sec,help_count
67c246023b44ca64d40ae45a,reading-task-tabular-1,json5,87,1745940403085,1745940518757,115.672,0
67c246023b44ca64d40ae45a,reading-task-tabular-2,json5,quiz2,1745940532896,1745940563885,30.989,0
67c246023b44ca64d40ae45a,reading-task-tabular-3,json5,2,1745940568779,1745940723821,155.042,0
67c246023b44ca64d40ae45a,reading-task-tabular-4,json5,Bob,1745940731679,1745940830582,98.903,0
67c246023b44ca64d40ae45a,reading-task-tabular-5,json5,['Alice'],1745940836339,1745941032973,196.634,0
67debe02a893eea51e8d02f2,reading-task-tabular-1,json,87,1745929927333,1745930009879,82.546,0
67debe02a893eea51e8d02f2,reading-task-tabular-2,json,quiz2,1745930020902,1745930060642,39.74,0
67debe02a893eea51e8d02f2,reading-task-tabular-3,json,4,1745930069148,1745930099691,30.543,0
67debe02a893eea51e8d02f2,reading-task-tabular-4,json,Bob,1745930106380,1745930140881,34.501,0
67debe02a893eea51e8d02f2,reading-task-tabular-5,json,"['Bob', 'Alice']",1745930149150,1745930231829,82.679,0
673d0377254c407e5da57f97,reading-task-tabular-1,toml,87,1746384923052,1746385048224,125.172,0
673d0377254c407e5da57f97,reading-task-tabular-2,toml,quiz2,1746385055859,1746385122926,67.067,0
673d0377254c407e5da57f97,reading-task-tabular-3,toml,4,1746385131019,1746385216814,85.795,0
673d0377254c407e5da57f97,reading-task-tabular-4,toml,Bob,1746385225868,1746385256964,31.096,0
673d0377254c407e5da57f97,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746385264476,1746385367577,103.101,0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-1,xml,87,1746487972332,1746488026494,54.162,0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-2,xml,quiz2,1746488030976,1746488081606,50.63,0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-3,xml,4,1746488084959,1746488100883,15.924,0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-4,xml,Bob,1746488104154,1746488133218,29.064,0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746488137002,1746488205593,68.591,0
5dafea4de40355001651fa2f,reading-task-tabular-1,jsonc,87,1745929444296,1745929491297,47.001,0
5dafea4de40355001651fa2f,reading-task-tabular-2,jsonc,quiz2,1745929500864,1745929543889,43.025,0
5dafea4de40355001651fa2f,reading-task-tabular-3,jsonc,2,1745929554295,1745929596619,42.324,0
5dafea4de40355001651fa2f,reading-task-tabular-4,jsonc,Bob,1745929615528,1745929670876,55.348,0
5dafea4de40355001651fa2f,reading-task-tabular-5,jsonc,"['Alice', 'Eve']",1745929677510,1745929737263,59.753,0
6787e4bd2bf9557a90208f03,reading-task-tabular-1,yaml,87,1746387297211,1746387355222,58.011,0
6787e4bd2bf9557a90208f03,reading-task-tabular-2,yaml,quiz2,1746387370992,1746387424664,53.672,0
6787e4bd2bf9557a90208f03,reading-task-tabular-3,yaml,4,1746387433103,1746387483282,50.179,0
6787e4bd2bf9557a90208f03,reading-task-tabular-4,yaml,Bob,1746387489252,1746387536238,46.986,0
6787e4bd2bf9557a90208f03,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1746387544501,1746387685586,141.085,0
5e8a5a892f6f027054a83d88,reading-task-tabular-1,toml,87,1746384210175,1746384260486,50.311,0
5e8a5a892f6f027054a83d88,reading-task-tabular-2,toml,quiz2,1746384265352,1746384311380,46.028,0
5e8a5a892f6f027054a83d88,reading-task-tabular-3,toml,5,1746384315497,1746384358831,43.334,0
5e8a5a892f6f027054a83d88,reading-task-tabular-4,toml,Bob,1746384361896,1746384386315,24.419,0
5e8a5a892f6f027054a83d88,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746384389102,1746384437667,48.565,0
67e4920c40c9561040ca01d0,reading-task-tabular-1,xml,8,1745929945921,1745930092169,146.248,0
67e4920c40c9561040ca01d0,reading-task-tabular-2,xml,quiz1,1745930103984,1745930182523,78.539,0
67e4920c40c9561040ca01d0,reading-task-tabular-3,xml,2,1745930191034,1745930239216,48.182,0
67e4920c40c9561040ca01d0,reading-task-tabular-4,xml,Eve,1745930252128,1745930318641,66.513,0
67e4920c40c9561040ca01d0,reading-task-tabular-5,xml,['Bob'],1745930325267,1745930361722,36.455,0
615200d54efc832849db2259,reading-task-tabular-1,json,87,1746384662852,1746384769185,106.333,0
615200d54efc832849db2259,reading-task-tabular-2,json,quiz2,1746384796865,1746384856850,59.985,0
615200d54efc832849db2259,reading-task-tabular-3,json,4,1746384865411,1746384952449,87.038,0
615200d54efc832849db2259,reading-task-tabular-4,json,Bob,1746384959105,1746384993373,34.268,0
615200d54efc832849db2259,reading-task-tabular-5,json,"['Bob', 'Alice']",1746384998385,1746385104433,106.048,0
67f184a3b82990251abd1592,reading-task-tabular-1,yaml,87,1746384536400,1746384627131,90.731,0
67f184a3b82990251abd1592,reading-task-tabular-2,yaml,quiz2,1746384636841,1746384768397,131.556,0
67f184a3b82990251abd1592,reading-task-tabular-3,yaml,3,1746384776522,1746385003805,227.283,0
67f184a3b82990251abd1592,reading-task-tabular-4,yaml,Bob,1746385015318,1746385062199,46.881,0
67f184a3b82990251abd1592,reading-task-tabular-5,yaml,"['Bob', 'Alice', 'Eve']",1746385068798,1746385112663,43.865,0
67bf88cc763aae600b429a3e,reading-task-tabular-1,toml,87,1746150726411,1746150822268,95.857,0
67bf88cc763aae600b429a3e,reading-task-tabular-2,toml,quiz2,1746150833061,1746150916296,83.235,0
67bf88cc763aae600b429a3e,reading-task-tabular-3,toml,4,1746150931718,1746151010004,78.286,0
67bf88cc763aae600b429a3e,reading-task-tabular-4,toml,Bob,1746151016077,1746151087602,71.525,0
67bf88cc763aae600b429a3e,reading-task-tabular-5,toml,['Alice'],1746151093236,1746151278146,184.91,0
67a754a5c8614c52a939d87b,reading-task-tabular-1,hjson,87,1746150005473,1746150094965,89.492,0
67a754a5c8614c52a939d87b,reading-task-tabular-2,hjson,quiz2,1746150103907,1746150202429,98.522,0
67a754a5c8614c52a939d87b,reading-task-tabular-3,hjson,4,1746150209411,1746150240302,30.891,0
67a754a5c8614c52a939d87b,reading-task-tabular-4,hjson,Bob,1746150250487,1746150355989,105.502,0
67a754a5c8614c52a939d87b,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746150361512,1746150404436,42.924,0
60fce3df91350150e2e88423,reading-task-tabular-1,yaml,87,1744921095280,1744921115057,19.777,0
60fce3df91350150e2e88423,reading-task-tabular-2,yaml,quiz2,1744921121776,1744921146776,25.0,0
60fce3df91350150e2e88423,reading-task-tabular-3,yaml,4,1744921154091,1744921168589,14.498,0
