participantId,format,task_time,total_time,ratio,task
67d9788747176969d8d0fa1d,hjson,877.105,5505.414,0.15931681068853315,writing_time/total_time
67dc19c31078d1581e39e75a,yaml,689.861,2657.605,0.25957996015209184,writing_time/total_time
67debe02a893eea51e8d02f2,json,962.061,2998.99,0.32079500098366454,writing_time/total_time
67e12acb51605ac16c227598,jsonc,1774.562,4441.757,0.3995180285639219,writing_time/total_time
67e17bac09359e09118892b4,json5,397.124,2368.332,0.16768088257896277,writing_time/total_time
67e25388d573ec2d5f1c8442,yaml,537.243,4214.973,0.12746060295048156,writing_time/total_time
67e4920c40c9561040ca01d0,xml,653.979,2942.221,0.22227392163946896,writing_time/total_time
67e571bef6af7ecd9c29ad72,json,536.063,5035.14,0.106464368418753,writing_time/total_time
67e5cf90b79d0874e1cf16b0,toml,717.541,4366.063,0.16434508617947108,writing_time/total_time
67eefd0739d752c54dd52686,toml,309.43,2307.103,0.13412058325961174,writing_time/total_time
67eff2b1a264260e948a4d14,xml,1059.158,4163.089,0.25441637207371737,writing_time/total_time
67f0c5d37f91ceae5cb3b318,jsonc,842.354,2936.373,0.2868688684986546,writing_time/total_time
67f184a3b82990251abd1592,yaml,1146.321,4494.337,0.2550589775533076,writing_time/total_time
67f1a4f8dd44e7cd5adffa29,json5,780.83,3724.944,0.20962194330975178,writing_time/total_time
67f1c7bd6f1c4a3d8deae02f,toml,499.347,3569.983,0.13987377530929418,writing_time/total_time
67f3619e16d4ca195fbd1bd0,yaml,499.546,4252.152,0.11748074857154683,writing_time/total_time
67f5bb69760b211cdfe8021c,jsonc,780.439,2438.165,0.3200927746891617,writing_time/total_time
67f913a9b5c79e960807c7e3,yaml,627.119,3824.931,0.1639556373696676,writing_time/total_time
